snid,x0,t0,x1,c,z,snra,sndec
146,1.67820500896e-05,62495.932117,0.583069195363,-0.016633265797,0.37560594,53.2757288551,-27.3583804764
147,1.94887015359e-05,59694.0536023,-1.16675364146,-0.123581114603,0.37796092,53.5438224577,-28.4347272123
148,2.46249016492e-05,60417.9452049,-0.0439096777728,-0.0675052419705,0.37399101,53.5636881013,-28.6269748035
149,2.19247152316e-05,62151.8903718,1.2542732388,-0.0084057817031,0.37535465,53.2991077614,-28.0414504195
150,1.64369359669e-05,59899.6031579,0.693146905144,-0.038519145617,0.37426853,53.3430283768,-27.3643012042
151,2.7690749383e-05,59691.6516137,-0.268250992308,-0.0999282300601,0.36981308,53.237921879,-28.5944565581
152,1.30380482076e-05,60883.542508,-1.29689586765,-0.014236331024,0.3717705,53.2203106711,-28.5403437283
154,1.60575635995e-05,59770.612955,-0.747434169183,-0.06961996411,0.38949382,53.6306472017,-27.2695945535
155,1.99669932147e-05,59819.6723817,0.209846416065,-0.0780879142956,0.380458,53.7349138146,-27.6707239846
156,9.56718074591e-06,59738.7793291,-2.55919431387,0.0343545882214,0.39165485,53.3965982721,-28.5003911563
157,1.5486197312e-05,61022.3002684,0.226417630708,0.0164852578344,0.3877455,53.5264600575,-27.8340113717
158,1.9622996114e-05,62019.758718,0.512740916705,-0.0467765849504,0.38292599,53.3922178698,-27.3023733984
159,1.33435615664e-05,60302.7989581,1.03957683378,0.0896388751096,0.39569712,53.2509374088,-27.5495748628
160,1.6892189907e-05,62778.3725487,1.45873177,-0.0314150801467,0.38037944,53.3740332864,-28.1198005882
161,1.52128509188e-05,61158.2201984,-1.12356494453,-0.0516819300921,0.38786995,53.5722372489,-27.5708856616
162,1.49184123627e-05,61841.6913425,0.117352098545,-0.00882380998733,0.39618146,53.5269452831,-27.9003641062
163,1.97596393279e-05,60640.0576117,0.374276280423,-0.0402862308995,0.38875377,53.2483570584,-27.5825984047
164,1.67929668903e-05,61825.6791931,-0.215822482425,-0.0471625017949,0.38873816,53.7067939863,-27.5482566566
165,1.38883164646e-05,63060.8588627,0.187021230981,0.0117413670617,0.38926768,53.3098557415,-28.230301602
166,1.53304700315e-05,61215.2537153,0.0306442566073,0.00182394193892,0.38952279,53.3255117328,-28.2511977276
167,1.31315105577e-05,60335.7319096,0.841079487987,0.109120674186,0.38874352,53.5627635406,-27.4315484471
169,1.67368137716e-05,61202.6960664,0.450177174912,-0.0779316089395,0.38341165,53.6095225229,-27.6355131084
170,6.93608409826e-06,61432.8038264,-1.93043940508,0.154144923554,0.39918363,53.1763629344,-28.6360941645
171,1.04019018205e-05,61498.9263618,0.844811233191,0.155554021843,0.40644121,53.4165042817,-28.1194608438
172,1.02221999887e-05,59734.8665504,-0.400104121215,0.113805524748,0.39702213,53.3270019471,-28.4862648464
173,2.96478946953e-05,60180.1296645,1.39780917367,-0.0682877469826,0.38618004,53.2082348597,-28.2659261088
174,1.16245261421e-05,61223.3292056,0.828585576571,0.115565634275,0.39887559,53.3557054646,-28.3195190422
175,6.47278433555e-06,62164.0947728,-1.41277548154,0.153149887517,0.39131665,53.2699576703,-27.6528090231
176,1.41669583407e-05,62418.1958653,0.314272250786,0.00922404978452,0.41309774,53.2980227186,-28.2677582736
177,1.49003828266e-05,62416.4259481,0.574739964684,-0.04117853945,0.39612877,53.4330227413,-28.2791323309
178,1.41562688214e-05,61415.1424467,-1.15941952637,-0.0844766798519,0.41263688,53.3516664667,-27.8187467115
179,2.05460931372e-05,63072.1287156,-1.14109144187,-0.0902859221204,0.39888227,53.3658051833,-28.309694305
180,1.17340827612e-05,60791.3390508,0.366071182972,0.0267119662026,0.39231861,53.7024921228,-28.2724301311
181,1.52034158662e-05,61337.3222926,-0.69889193735,-0.0182081208741,0.39889169,53.3200204052,-27.8131221248
183,1.46818870494e-05,62711.1142423,0.333735128187,-0.0266447180566,0.39897072,53.3252785188,-27.7788961167
184,1.47954135044e-05,61092.7792012,0.0521035815049,0.0496260341765,0.39760697,53.5241037195,-28.2199122926
185,2.31800083822e-05,62677.6984771,-0.699490640785,-0.0900066917578,0.3920604,53.6728478422,-28.4842930751
186,1.20743950833e-05,61202.6839374,-1.78651015154,-0.00869910872497,0.39390934,53.2579052188,-27.5285976846
187,1.26143743093e-05,62192.4768576,-0.903267231937,-0.0489491898783,0.39571333,53.6324837487,-28.3954642615
188,1.46073559324e-05,59610.8365271,0.153153362407,-0.0634038139761,0.38678503,53.5866813785,-27.9431478809
189,9.55015565163e-06,59671.9851964,0.272782608847,0.0913420302631,0.41229689,53.3028540055,-28.4704539856
190,1.76920915766e-05,63012.6443014,0.470046184019,-0.0191936062173,0.41733158,53.6725945659,-28.0619052224
191,1.92438849635e-05,59952.803511,0.308062840864,-0.0108844625935,0.41025043,53.7071701087,-28.0425913803
193,1.2055937566e-05,60613.8944149,0.127528592231,4.66105096505e-05,0.40844941,53.2137227037,-28.5781546543
195,1.39152100294e-05,60997.4197647,0.344939898166,-0.0105827965331,0.40851688,53.4901018628,-28.3407206784
197,9.48674625858e-06,61661.5008656,-0.101474418075,0.18274345266,0.4007858,53.3717044705,-27.9254514048
198,1.58996527724e-05,62926.0083336,0.414556384264,-0.0403675234676,0.40081728,53.4148503761,-28.2720087457
199,1.53214320383e-05,62143.264479,0.534571512007,0.00440480707316,0.41119158,53.6620364302,-27.3985298377
200,1.59096097522e-05,61409.4400487,-1.83488230423,-0.086469990714,0.41454434,53.7555734678,-28.1913811627
201,1.89035139048e-05,61427.2169423,-1.08150958206,-0.120543799752,0.41085112,53.2436072913,-28.5009847222
202,1.57376850999e-05,60378.6958701,-0.705217172488,-0.0531589086382,0.40696883,53.5101345879,-28.6474233498
203,7.06460345486e-06,59597.021858,-0.587497816088,0.093004340347,0.41000807,53.6874393618,-28.4578300123
205,1.40668833401e-05,61636.3228027,-0.434571495711,0.0355790300727,0.41015613,53.6699561269,-28.482196981
206,1.29163168781e-05,62779.4508197,0.432659898558,0.0573610227299,0.41218317,53.7509095372,-28.1398430898
207,2.07714142962e-05,62053.1846668,-0.00695400472752,-0.0420263516765,0.41426444,53.4042476923,-28.2833519064
208,1.16244280657e-05,62654.5156183,-1.27493713526,-0.00437130408128,0.41972363,53.4862810937,-27.2623596713
209,1.39045756783e-05,62960.4886973,0.905195987867,0.0358842419959,0.41277969,53.3205147408,-28.281918885
210,1.74009205982e-05,63015.0729388,1.23219764398,-0.0311589658508,0.41452825,53.75382983,-28.1890411082
211,1.54603639014e-05,62558.4699045,-0.305071923626,-0.0747665384228,0.40283716,53.3246296986,-28.4791778241
212,1.80905557002e-05,60059.59031,0.99715033881,-0.0147933952294,0.42647719,53.6465638103,-27.6557039251
213,1.21671823332e-05,60845.1995547,-0.0147369040697,0.0181831656293,0.41733801,53.6727942841,-28.0628105195
214,1.49261544661e-05,60341.034105,-2.2737655218,0.0391755963292,0.4011085,53.1786735436,-28.4704710659
215,1.4031962578e-05,62745.9426106,-1.69603165381,-0.0754204785088,0.41206098,53.6560569532,-27.7617497038
216,1.53857690673e-05,62472.0053005,0.979462519176,0.0588699798912,0.41013217,53.6920710852,-28.4932290336
217,1.64809380695e-05,60853.8559885,1.27446279091,-0.0357433876698,0.40281916,53.3159231804,-28.471288617
